	 task 	 upstream 	 B500 	 Δ 	
	---	---:	---:	---:	
	 e00_zero-shot_tts 	 10 	 10 	 +0 	
	 e01_instruct_tts 	 10 	 10 	 +0 	
	 e02_instruct_tts 	 5 	 3 	 -2 	
	 e03_speech_content_editing_replace 	 10 	 10 	 +0 	
	 e04_speech_content_editing_insert 	 1 	 1 	 +0 	
	 e05_speech_content_editing_remove 	 10 	 10 	 +0 	
	 e06_lyric_editing 	 10 	 10 	 +0 	
	 e07_pitch_editing 	 10 	 3 	 -7 	
	 e08_pitch_editing 	 10 	 10 	 +0 	
	 e09_speed_editing 	 6 	 10 	 +4 	
	 e10_speed_editing 	 6 	 10 	 +4 	
	 e11_volume_editing 	 10 	 10 	 +0 	
	 e12_volume_editing 	 10 	 10 	 +0 	
	 e13_emotion_editing 	 8 	 2 	 -6 	
	 e14_emotion_editing 	 10 	 9 	 -1 	
	 e15_emotion_editing 	 8 	 2 	 -6 	
	 e16_timbre_editing 	 10 	 10 	 +0 	
	 e17_de-accent 	 1 	 3 	 +2 	
	 e18_nonverbal_editing_remove 	 10 	 10 	 +0 	
	 e19_nonverbal_editing_add 	 4 	 1 	 -3 	
	 e20_whisper_conversion_to_whisper 	 1 	 1 	 +0 	
	 e21_whisper_conversion_from_whisper 	 1 	 1 	 +0 	
	 e23_speech_enhancement_dereverberate 	 1 	 1 	 +0 	
	 e25_speech_separation_by_order 	 1 	 0 	 -1 	
	 e26_speech_separation_by_order 	 2 	 2 	 +0 	
	 e27_target_speaker_extraction 	 8 	 8 	 +0 	
	 e28_music_separation_vocals 	 10 	 9 	 -1 	
	 e29_music_separation_all_voices 	 10 	 9 	 -1 	
	 e30_audio_quality_enhancement 	 9 	 1 	 -8 	
